x,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19
0,-0.042,-0.153,-0.327,-0.116,-0.032,-0.167,-0.076,-0.018,-0.107,-0.002,0.061,0.0,-0.115,,-0.006,0.024,0.05,-0.067,-0.01,-0.042
10,0.161,0.053,-0.096,0.087,0.181,0.017,0.115,0.192,0.092,0.209,0.201,0.176,0.044,,0.114,0.21,0.196,0.117,0.168,0.141
20,0.357,0.267,0.122,0.312,0.347,0.223,0.317,0.397,0.293,0.406,0.303,0.335,0.228,,0.236,0.385,0.332,0.295,0.332,0.326
30,0.517,0.467,0.3,0.513,0.486,0.422,0.466,0.562,0.476,0.565,0.409,0.441,0.399,,0.344,0.504,0.421,0.427,0.478,0.495
40,0.652,0.65,0.446,0.7,0.582,0.59,0.57,0.687,0.634,0.678,0.504,0.535,0.575,,0.449,0.601,0.507,0.539,0.556,0.618
50,0.732,0.775,0.535,0.837,0.67,0.707,0.645,0.769,,0.762,0.573,0.612,0.707,,0.579,0.67,0.581,0.603,0.625,0.704
60,0.776,0.854,0.606,0.919,0.715,0.791,0.692,0.82,0.82,0.811,0.669,0.648,0.813,,0.697,0.725,0.629,0.653,0.671,0.749
70,0.796,0.877,0.62,0.956,0.751,0.824,0.711,,0.832,0.826,0.751,0.66,0.88,,0.803,0.752,0.699,0.674,0.709,0.761
80,0.802,0.873,0.624,0.955,0.798,0.825,0.723,0.848,0.829,0.843,0.824,0.684,0.894,,0.903,0.791,0.752,0.67,0.731,0.767
90,0.791,0.835,0.61,0.918,0.835,0.793,0.735,0.855,0.807,0.852,0.888,0.704,0.866,,0.966,0.814,0.811,0.681,0.763,0.751
100,0.78,0.794,0.591,0.882,0.855,0.742,0.751,0.846,0.765,0.861,0.927,0.716,0.793,,0.987,0.819,0.836,0.675,0.783,0.744
110,0.78,0.741,0.571,0.801,0.863,0.693,0.745,0.839,0.719,0.856,0.911,0.733,0.728,,0.942,0.824,0.843,0.656,0.784,0.732
120,0.745,0.688,0.535,0.749,0.83,0.628,0.732,0.826,0.675,0.84,0.851,0.707,0.637,,0.83,0.816,0.803,0.633,0.766,0.716
130,0.703,0.633,0.501,0.676,0.764,0.569,0.685,0.768,0.626,0.786,0.746,0.658,0.57,,0.693,0.749,0.718,0.605,0.708,0.671
140,0.633,0.571,0.412,0.608,0.659,0.49,0.579,0.683,0.565,0.69,0.58,0.582,0.481,,0.519,0.648,0.598,0.526,0.615,0.602
150,0.517,0.484,0.298,0.515,0.486,0.411,0.461,0.562,0.469,0.552,0.404,0.453,0.405,,0.343,0.508,0.424,0.427,0.466,0.485
160,0.366,0.337,0.154,0.39,0.293,0.305,0.292,0.377,0.348,0.386,0.224,0.292,0.312,,0.166,0.326,0.249,,0.296,0.357
170,0.184,0.175,-0.044,0.249,0.069,0.162,0.092,0.184,0.21,0.187,0.032,0.122,0.201,,-0.017,0.129,0.058,0.133,0.094,0.176
180,-0.033,-0.01,-0.256,0.061,-0.149,-0.001,-0.124,-0.031,0.045,-0.043,-0.131,-0.062,0.06,,-0.148,-0.074,-0.106,-0.052,-0.099,-0.005
190,-0.235,-0.216,-0.484,-0.149,-0.355,-0.177,-0.324,-0.265,-0.155,-0.256,-0.271,-0.235,-0.101,,-0.287,-0.278,-0.266,-0.225,-0.29,-0.206
200,-0.427,-0.439,-0.707,-0.349,-0.523,-0.383,-0.499,-0.464,-0.353,-0.45,-0.38,-0.398,-0.274,,-0.402,-0.436,-0.389,-0.393,-0.46,-0.392
210,-0.6,-0.641,-0.881,-0.572,-0.662,-0.566,-0.649,-0.632,-0.541,-0.605,-0.473,-0.514,-0.458,-0.575,-0.503,-0.576,-0.485,-0.531,-0.591,-0.556
220,-0.717,-0.819,-1.023,-0.753,-0.773,-0.74,-0.768,-0.737,-0.698,-0.722,-0.559,-0.607,-0.643,-0.724,-0.628,-0.672,-0.565,,,
230,-0.802,-0.93,-1.131,-0.892,,,-0.847,-0.839,-0.797,-0.811,-0.652,-0.668,-0.784,-0.803,-0.74,-0.74,-0.641,-0.71,-0.747,-0.763
240,-0.844,-1.021,-1.184,-0.973,,,-0.891,-0.875,-0.88,-0.862,-0.724,-0.704,-0.884,-0.864,-0.867,-0.78,-0.69,-0.75,-0.805,-0.795
250,-0.876,-1.04,-1.206,-1.027,,-0.98,-0.905,-0.906,-0.904,-0.872,-0.81,-0.739,-0.942,-0.885,-0.966,-0.814,-0.756,-0.781,-0.833,-0.817
260,-0.881,-1.03,-1.209,-1.008,,-0.993,-0.921,-0.91,-0.891,-0.894,-0.902,-0.769,-0.938,-0.877,-1.068,-0.837,-0.82,-0.784,-0.86,-0.818
270,-0.875,-1.012,-1.185,-0.969,,-0.957,-0.933,-0.908,-0.87,-0.892,-0.959,-0.787,-0.921,-0.866,-1.13,-0.859,-0.868,-0.782,-0.879,-0.813
280,-0.857,-0.959,-1.186,-0.93,-1.018,-0.906,-0.944,-0.917,-0.834,-0.908,-0.987,-0.789,-0.854,-0.845,-1.152,-0.889,-0.89,-0.763,-0.906,-0.8
290,-0.859,-0.906,-1.148,-0.87,-1.041,-0.837,-0.949,-0.915,-0.793,-0.903,-0.967,-0.795,-0.783,-0.825,-1.109,-0.896,-0.901,-0.76,-0.915,-0.789
300,-0.823,-0.858,-1.124,-0.789,-1.013,-0.791,-0.918,-0.894,-0.736,-0.877,,-0.77,-0.707,-0.803,-0.995,-0.874,-0.86,-0.75,-0.884,-0.759
310,-0.789,-0.809,-1.086,-0.723,-0.941,-0.728,-0.884,-0.834,-0.684,-0.822,,-0.736,-0.619,-0.75,-0.854,-0.806,-0.78,-0.711,-0.826,-0.733
320,-0.696,-0.736,-1.002,-0.656,-0.829,-0.652,-0.784,-0.747,-0.623,-0.745,,-0.644,-0.555,-0.686,-0.692,-0.719,-0.649,-0.631,-0.735,-0.654
